﻿Title:,"Table 11 - Head of provider remuneration"
Subtitle:,"Academic years 2016/17 to 2021/22"
Reference ID:,DT031 Table 11
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-11.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
,Head of provider,Head of provider at financial year end 
,Financial Year End,All 
Search:,


"","","","","","","(£000s)","","",""
"UKPRN","HE Provider","Financial Year End","Start date of service in head of provider role (YYYY-MM-DD)","End date of service in head of provider role (YYYY-MM-DD)","Total remuneration (before salary sacrifice)","Head of the provider's basic salary divided by the median pay (salary)","Head of the provider's total remuneration divided by the median total remuneration."
"10004320","The Metanoia Institute","2020-08-31","","","131","2.2","2.2"
"10004351","Middlesex University","2021-07-31","","","285","5.7","5.4"
"10032277","The Minster Centre","2020-12-31","","","47","2.2","2.2"
"10004450","Mountview Academy of Theatre Arts","2020-08-31","","","94","2.8","3.1"
"10023777","Mont Rose College of Management and Sciences","2020-08-31","","","158","4.3","4.5"
"10023454","Moorlands College","2021-06-30","","","0","0.0","0.0"
"10000216","All Nations Christian College","2020-08-31","","","68","2.2","2.9"
"10053304","Navitas UK Holdings Limited","2021-06-30","","","361","8.5","10.9"
"10004538","Nazarene Theological College","2021-06-30","","","40","1.7","1.3"
"10030129","Nelson College London Ltd","2021-07-31","","","45","1.6","1.7"
"10023456","Newbold College","2020-12-31","","","60","1.5","1.5"
"10007799","Newcastle University","2021-07-31","","","380","9.3","9.2"
"10048199","New College of the Humanities","2021-06-30","","","89","1.9","1.6"
"10007832","Newman University","2021-07-31","","","214","5.1","5.3"
"10045289","St Nicholas Montessori Training Limited","2020-08-31","20190311","","56","3.8","4.0"
"10008397","Norland College","2021-07-31","","","129","4.0","4.2"
"10007138","The University of Northampton","2021-07-31","20100901","","263","5.7","6.3"
"10004740","Northern College of Acupuncture","2021-06-30","","","58","1.9","1.9"
"10001282","University of Northumbria at Newcastle","2021-07-31","","","0","0.0","0.0"
"10004775","Norwich University of the Arts","2021-07-31","","","67","6.4","6.3"
"10007154","University of Nottingham","2021-07-31","","","303","8.0","7.3"
"10004797","The Nottingham Trent University","2021-07-31","","","323","8.1","9.4"
"10007773","The Open University","2021-07-31","","","338","6.7","7.8"
"10004930","Oxford Brookes University","2021-07-31","","","238","6.8","5.9"
"10007774","The University of Oxford","2021-07-31","","","459","10.1","10.0"
"10042570","Pearson College","2020-12-31","","","299","5.3","7.5"
"10005127","Arts University Plymouth","2021-07-31","","","0","0.0","0.0"
"10007801","University of Plymouth","2021-07-31","","","291","6.8","6.9"
"10019178","Point Blank Music School","2020-12-31","","","145","0.8","5.5"
"10007155","The University of Portsmouth","2021-07-31","","","345","7.3","7.3"
"10083476","The Prince's Foundation","2021-03-31","","","0","0.0","0.0"
"10005337","Queen Margaret University, Edinburgh","2021-07-31","","","211","5.2","4.2"
"10007775","Queen Mary University of London","2021-07-31","","","316","8.3","7.3"
"10025197","University Centre Quayside Limited","2021-02-28","","","87","1.0","2.8"
"10009292","Royal Academy of Dramatic Art","2021-07-31","","","0","0.0","0.0"
"10005544","Royal Academy of Dance","2021-07-31","","","0","0.0","0.0"
"10005389","Ravensbourne University London","2021-07-31","","","194","3.8","3.8"
"10005470","Richmond, The American International University in London","2021-06-30","","","250","5.4","5.9"
"10007802","The University of Reading","2021-07-31","","","241","5.9","5.7"
"10086591","Regent's University London Limited","2021-06-30","","","163","5.4","5.7"
"10021100","Regents Theological College","2020-09-30","","","91","4.4","4.3"
"10023871","Results Consortium Limited","2021-03-31","","","0","0.0","0.0"
"10008455","Regent College London","2021-07-31","","","185","4.5","8.6"
"10005500","Robert Gordon University","2021-07-31","","","236","6.5","5.5"
"10007776","Roehampton University","2021-07-31","","","279","6.1","7.8"
"10020436","Royal School of Needlework (The)","2020-08-31","","","95","2.2","2.3"
"10005523","Rose Bruford College of Theatre and Performance","2021-07-31","20180108","","152","4.6","3.8"
"10007835","Royal Academy of Music","2021-07-31","","","274","5.1","6.4"
"10005545","Royal Agricultural University","2021-07-31","","","0","0.0","0.0"
"10007777","Royal College of Art","2021-07-31","","","306","5.6","5.4"
"10007778","Royal College of Music","2021-07-31","","","279","4.9","5.8"
"10005561","Royal Conservatoire of Scotland","2021-07-31","","","184","3.2","3.3"
"10007816","The Royal Central School of Speech and Drama","2021-07-31","20200913","20210731","147","3.3","3.7"
